gamma,sub_sample,col_sample_by_tree,max_depth,eta,fs,accuracy
0,0.25,0.25,4,0.1,5434,0.6339449541284403
0,0.25,0.25,4,0.1,6434,0.6229357798165137
0,0.25,0.25,4,0.1,7434,0.6220183486238532
0,0.25,0.25,4,0.1,8434,0.6284403669724771
0,0.25,0.25,4,0.1,9434,0.6318042813455658
0,0.25,0.25,4,0.1,10434,0.6321100917431193
0,0.25,0.25,4,0.1,11434,0.6284403669724771
0,0.25,0.25,4,0.1,12434,0.6198776758409786
0,0.25,0.25,4,0.1,13434,0.627217125382263
0,0.25,0.25,4,0.1,14434,0.6266055045871559
0,0.25,0.25,4,0.1,15434,0.6299694189602446
0,0.25,0.25,4,0.1,16434,0.6284403669724771
0,0.25,0.25,4,0.1,17434,0.6250764525993884
0,0.25,0.25,4,0.1,18434,0.6262996941896024
0,0.25,0.25,4,0.1,19434,0.6284403669724771
0,0.25,0.25,4,0.1,20434,0.6241590214067279
0,0.25,0.25,4,0.1,21434,0.6259938837920489
0,0.25,0.25,4,0.15,5434,0.6446483180428134
0,0.25,0.25,4,0.15,6434,0.6376146788990825
0,0.25,0.25,4,0.15,7434,0.635474006116208
0,0.25,0.25,4,0.15,8434,0.6415902140672783
0,0.25,0.25,4,0.15,9434,0.6418960244648318
0,0.25,0.25,4,0.15,10434,0.6409785932721712
0,0.25,0.25,4,0.15,11434,0.636697247706422
0,0.25,0.25,4,0.15,12434,0.6379204892966361
0,0.25,0.25,4,0.15,13434,0.6370030581039755
0,0.25,0.25,4,0.15,14434,0.634862385321101
0,0.25,0.25,4,0.15,15434,0.636085626911315
0,0.25,0.25,4,0.15,16434,0.6415902140672783
0,0.25,0.25,4,0.15,17434,0.6409785932721712
0,0.25,0.25,4,0.15,18434,0.6388379204892967
0,0.25,0.25,4,0.15,19434,0.6376146788990825
0,0.25,0.25,4,0.15,20434,0.637308868501529
0,0.25,0.25,4,0.15,21434,0.6391437308868502
0,0.25,0.25,4,0.2,5434,0.6541284403669725
0,0.25,0.25,4,0.2,6434,0.6437308868501529
0,0.25,0.25,4,0.2,7434,0.6412844036697247
0,0.25,0.25,4,0.2,8434,0.6477064220183486
0,0.25,0.25,4,0.2,9434,0.6440366972477064
0,0.25,0.25,4,0.2,10434,0.6464831804281346
0,0.25,0.25,4,0.2,11434,0.6400611620795107
0,0.25,0.25,4,0.2,12434,0.6446483180428134
0,0.25,0.25,4,0.2,13434,0.6434250764525994
0,0.25,0.25,4,0.2,14434,0.6449541284403669
0,0.25,0.25,4,0.2,15434,0.6443425076452599
0,0.25,0.25,4,0.2,16434,0.6440366972477064
0,0.25,0.25,4,0.2,17434,0.6443425076452599
0,0.25,0.25,4,0.2,18434,0.6425076452599389
0,0.25,0.25,4,0.2,19434,0.645565749235474
0,0.25,0.25,4,0.2,20434,0.6440366972477064
0,0.25,0.25,4,0.2,21434,0.6425076452599389
0,0.25,0.25,4,0.25,5434,0.6504587155963303
0,0.25,0.25,4,0.25,6434,0.6480122324159021
0,0.25,0.25,4,0.25,7434,0.6492354740061163
0,0.25,0.25,4,0.25,8434,0.653211009174312
0,0.25,0.25,4,0.25,9434,0.6510703363914373
0,0.25,0.25,4,0.25,10434,0.6452599388379205
0,0.25,0.25,4,0.25,11434,0.6443425076452599
0,0.25,0.25,4,0.25,12434,0.6492354740061163
0,0.25,0.25,4,0.25,13434,0.6467889908256881
0,0.25,0.25,4,0.25,14434,0.6446483180428134
0,0.25,0.25,4,0.25,15434,0.6529051987767585
0,0.25,0.25,4,0.25,16434,0.6486238532110091
0,0.25,0.25,4,0.25,17434,0.6449541284403669
0,0.25,0.25,4,0.25,18434,0.645565749235474
0,0.25,0.25,4,0.25,19434,0.6440366972477064
0,0.25,0.25,4,0.25,20434,0.6409785932721712
0,0.25,0.25,4,0.25,21434,0.6443425076452599
0,0.25,0.25,4,0.3,5434,0.6611620795107034
0,0.25,0.25,4,0.3,6434,0.6446483180428134
0,0.25,0.25,4,0.3,7434,0.6510703363914373
0,0.25,0.25,4,0.3,8434,0.6599388379204894
0,0.25,0.25,4,0.3,9434,0.6596330275229357
0,0.25,0.25,4,0.3,10434,0.6559633027522935
0,0.25,0.25,4,0.3,11434,0.6477064220183486
0,0.25,0.25,4,0.3,12434,0.6507645259938838
0,0.25,0.25,4,0.3,13434,0.6474006116207951
0,0.25,0.25,4,0.3,14434,0.6483180428134556
0,0.25,0.25,4,0.3,15434,0.65565749235474
0,0.25,0.25,4,0.3,16434,0.6507645259938838
0,0.25,0.25,4,0.3,17434,0.6504587155963303
0,0.25,0.25,4,0.3,18434,0.6480122324159021
0,0.25,0.25,4,0.3,19434,0.6403669724770642
0,0.25,0.25,4,0.3,20434,0.6480122324159021
0,0.25,0.25,4,0.3,21434,0.6385321100917432
0,0.25,0.25,6,0.1,5434,0.6397553516819572
0,0.25,0.25,6,0.1,6434,0.6342507645259939
0,0.25,0.25,6,0.1,7434,0.6351681957186545
0,0.25,0.25,6,0.1,8434,0.6394495412844037
0,0.25,0.25,6,0.1,9434,0.6412844036697247
0,0.25,0.25,6,0.1,10434,0.636085626911315
