crit,n_est,max_depth,max_feat,max_sampl,fs,accuracy
entropy,50,4,0.75,0.25,6434,0.5889908256880734
entropy,50,4,0.75,0.25,7434,0.5899082568807339
entropy,50,4,0.75,0.25,8434,0.5889908256880734
entropy,50,4,0.75,0.25,9434,0.5886850152905199
entropy,50,4,0.75,0.25,10434,0.591131498470948
entropy,50,4,0.75,0.25,11434,0.5889908256880734
entropy,50,4,0.75,0.25,12434,0.590519877675841
entropy,50,4,0.75,0.25,13434,0.5896024464831804
entropy,50,4,0.75,0.25,14434,0.5929663608562691
entropy,50,4,0.75,0.25,15434,0.5902140672782875
entropy,50,4,0.75,0.25,16434,0.591743119266055
entropy,50,4,0.75,0.25,17434,0.5883792048929664
entropy,50,4,0.75,0.25,18434,0.5892966360856269
entropy,50,4,0.75,0.25,19434,0.5908256880733945
entropy,50,4,0.75,0.25,20434,0.590519877675841
entropy,50,4,0.75,0.25,21434,0.5889908256880734
entropy,50,4,0.75,0.5,5434,0.5883792048929664
entropy,50,4,0.75,0.5,6434,0.591131498470948
entropy,50,4,0.75,0.5,7434,0.5892966360856269
entropy,50,4,0.75,0.5,8434,0.5892966360856269
entropy,50,4,0.75,0.5,9434,0.5896024464831804
entropy,50,4,0.75,0.5,10434,0.5889908256880734
entropy,50,4,0.75,0.5,11434,0.5892966360856269
entropy,50,4,0.75,0.5,12434,0.5892966360856269
entropy,50,4,0.75,0.5,13434,0.5892966360856269
entropy,50,4,0.75,0.5,14434,0.591131498470948
entropy,50,4,0.75,0.5,15434,0.5892966360856269
entropy,50,4,0.75,0.5,16434,0.5889908256880734
entropy,50,4,0.75,0.5,17434,0.5902140672782875
entropy,50,4,0.75,0.5,18434,0.5880733944954128
entropy,50,4,0.75,0.5,19434,0.5892966360856269
entropy,50,4,0.75,0.5,20434,0.5892966360856269
entropy,50,4,0.75,0.5,21434,0.5899082568807339
entropy,50,4,0.75,0.75,5434,0.5883792048929664
entropy,50,4,0.75,0.75,6434,0.591743119266055
entropy,50,4,0.75,0.75,7434,0.5896024464831804
entropy,50,4,0.75,0.75,8434,0.590519877675841
entropy,50,4,0.75,0.75,9434,0.5899082568807339
entropy,50,4,0.75,0.75,10434,0.5896024464831804
entropy,50,4,0.75,0.75,11434,0.5899082568807339
entropy,50,4,0.75,0.75,12434,0.5926605504587156
entropy,50,4,0.75,0.75,13434,0.5899082568807339
entropy,50,4,0.75,0.75,14434,0.5899082568807339
entropy,50,4,0.75,0.75,15434,0.591131498470948
entropy,50,4,0.75,0.75,16434,0.591743119266055
entropy,50,4,0.75,0.75,17434,0.591743119266055
entropy,50,4,0.75,0.75,18434,0.5896024464831804
entropy,50,4,0.75,0.75,19434,0.5892966360856269
entropy,50,4,0.75,0.75,20434,0.5914373088685015
entropy,50,4,0.75,0.75,21434,0.5914373088685015
entropy,50,6,0.25,0.25,5434,0.5960244648318043
entropy,50,6,0.25,0.25,6434,0.5954128440366973
entropy,50,6,0.25,0.25,7434,0.5932721712538226
entropy,50,6,0.25,0.25,8434,0.5935779816513761
entropy,50,6,0.25,0.25,9434,0.5960244648318043
entropy,50,6,0.25,0.25,10434,0.5954128440366973
entropy,50,6,0.25,0.25,11434,0.5935779816513761
entropy,50,6,0.25,0.25,12434,0.5914373088685015
entropy,50,6,0.25,0.25,13434,0.5932721712538226
entropy,50,6,0.25,0.25,14434,0.5929663608562691
entropy,50,6,0.25,0.25,15434,0.5908256880733945
entropy,50,6,0.25,0.25,16434,0.5926605504587156
entropy,50,6,0.25,0.25,17434,0.5941896024464832
entropy,50,6,0.25,0.25,18434,0.5923547400611621
entropy,50,6,0.25,0.25,19434,0.5954128440366973
entropy,50,6,0.25,0.25,20434,0.5932721712538226
entropy,50,6,0.25,0.25,21434,0.5935779816513761
entropy,50,6,0.25,0.5,5434,0.5960244648318043
entropy,50,6,0.25,0.5,6434,0.5972477064220183
entropy,50,6,0.25,0.5,7434,0.5969418960244648
entropy,50,6,0.25,0.5,8434,0.5954128440366973
entropy,50,6,0.25,0.5,9434,0.5914373088685015
entropy,50,6,0.25,0.5,10434,0.5935779816513761
entropy,50,6,0.25,0.5,11434,0.5951070336391437
entropy,50,6,0.25,0.5,12434,0.5948012232415902
entropy,50,6,0.25,0.5,13434,0.5954128440366973
entropy,50,6,0.25,0.5,14434,0.5975535168195719
entropy,50,6,0.25,0.5,15434,0.5963302752293578
entropy,50,6,0.25,0.5,16434,0.5954128440366973
entropy,50,6,0.25,0.5,17434,0.5969418960244648
entropy,50,6,0.25,0.5,18434,0.5941896024464832
entropy,50,6,0.25,0.5,19434,0.5948012232415902
entropy,50,6,0.25,0.5,20434,0.5932721712538226
entropy,50,6,0.25,0.5,21434,0.5984709480122324
entropy,50,6,0.25,0.75,5434,0.5969418960244648
entropy,50,6,0.25,0.75,6434,0.5932721712538226
entropy,50,6,0.25,0.75,7434,0.5954128440366973
entropy,50,6,0.25,0.75,8434,0.5948012232415902
entropy,50,6,0.25,0.75,9434,0.5948012232415902
entropy,50,6,0.25,0.75,10434,0.5972477064220183
entropy,50,6,0.25,0.75,11434,0.5948012232415902
entropy,50,6,0.25,0.75,12434,0.5920489296636086
entropy,50,6,0.25,0.75,13434,0.5966360856269113
entropy,50,6,0.25,0.75,14434,0.5972477064220183
entropy,50,6,0.25,0.75,15434,0.5960244648318043
entropy,50,6,0.25,0.75,16434,0.6015290519877676
entropy,50,6,0.25,0.75,17434,0.5948012232415902
entropy,50,6,0.25,0.75,18434,0.5951070336391437
entropy,50,6,0.25,0.75,19434,0.5923547400611621
entropy,50,6,0.25,0.75,20434,0.5957186544342508
entropy,50,6,0.25,0.75,21434,0.5957186544342508
entropy,50,6,0.5,0.25,5434,0.5960244648318043
entropy,50,6,0.5,0.25,6434,0.5926605504587156
entropy,50,6,0.5,0.25,7434,0.5960244648318043
entropy,50,6,0.5,0.25,8434,0.5954128440366973
entropy,50,6,0.5,0.25,9434,0.5938837920489297
entropy,50,6,0.5,0.25,10434,0.599388379204893
entropy,50,6,0.5,0.25,11434,0.5954128440366973
