var_smoothing,fs,accuracy
1000.0,5434,0.573394495412844
1000.0,6434,0.573394495412844
1000.0,7434,0.573394495412844
1000.0,8434,0.573394495412844
1000.0,9434,0.573394495412844
1000.0,10434,0.573394495412844
1000.0,11434,0.573394495412844
1000.0,12434,0.573394495412844
1000.0,13434,0.573394495412844
1000.0,14434,0.573394495412844
1000.0,15434,0.573394495412844
1000.0,16434,0.573394495412844
1000.0,17434,0.573394495412844
1000.0,18434,0.573394495412844
1000.0,19434,0.573394495412844
1000.0,20434,0.573394495412844
1000.0,21434,0.573394495412844
100.0,5434,0.573394495412844
100.0,6434,0.573394495412844
100.0,7434,0.573394495412844
100.0,8434,0.573394495412844
100.0,9434,0.573394495412844
100.0,10434,0.573394495412844
100.0,11434,0.573394495412844
100.0,12434,0.573394495412844
100.0,13434,0.573394495412844
100.0,14434,0.573394495412844
100.0,15434,0.573394495412844
100.0,16434,0.573394495412844
100.0,17434,0.573394495412844
100.0,18434,0.573394495412844
100.0,19434,0.573394495412844
100.0,20434,0.573394495412844
100.0,21434,0.573394495412844
10.0,5434,0.573394495412844
10.0,6434,0.573394495412844
10.0,7434,0.573394495412844
10.0,8434,0.573394495412844
10.0,9434,0.573394495412844
10.0,10434,0.573394495412844
10.0,11434,0.573394495412844
10.0,12434,0.573394495412844
10.0,13434,0.573394495412844
10.0,14434,0.573394495412844
10.0,15434,0.573394495412844
10.0,16434,0.573394495412844
10.0,17434,0.573394495412844
10.0,18434,0.573394495412844
10.0,19434,0.573394495412844
10.0,20434,0.573394495412844
10.0,21434,0.573394495412844
1.0,5434,0.5764525993883792
1.0,6434,0.5755351681957187
1.0,7434,0.5755351681957187
1.0,8434,0.5801223241590214
1.0,9434,0.5862385321100917
1.0,10434,0.5948012232415902
1.0,11434,0.6085626911314985
1.0,12434,0.618960244648318
1.0,13434,0.6192660550458715
1.0,14434,0.5636085626911315
1.0,15434,0.455045871559633
1.0,16434,0.3718654434250764
1.0,17434,0.3629969418960244
1.0,18434,0.3620795107033639
1.0,19434,0.3620795107033639
1.0,20434,0.3620795107033639
1.0,21434,0.3620795107033639
0.1,5434,0.6113149847094801
0.1,6434,0.608868501529052
0.1,7434,0.6082568807339449
0.1,8434,0.6192660550458715
0.1,9434,0.6174311926605505
0.1,10434,0.6107033639143731
0.1,11434,0.5678899082568807
0.1,12434,0.5256880733944954
0.1,13434,0.4718654434250764
0.1,14434,0.4379204892966361
0.1,15434,0.410091743119266
0.1,16434,0.3941896024464831
0.1,17434,0.3880733944954128
0.1,18434,0.3880733944954128
0.1,19434,0.3880733944954128
0.1,20434,0.3880733944954128
0.1,21434,0.3880733944954128
0.01,5434,0.5795107033639144
0.01,6434,0.573394495412844
0.01,7434,0.5688073394495413
0.01,8434,0.5767584097859327
0.01,9434,0.5681957186544343
0.01,10434,0.5584097859327217
0.01,11434,0.5180428134556575
0.01,12434,0.4776758409785933
0.01,13434,0.4584097859327217
0.01,14434,0.4394495412844036
0.01,15434,0.4259938837920489
0.01,16434,0.4180428134556574
0.01,17434,0.4168195718654434
0.01,18434,0.4168195718654434
0.01,19434,0.4168195718654434
0.01,20434,0.4168195718654434
0.01,21434,0.4168195718654434
0.001,5434,0.5480122324159021
0.001,6434,0.5431192660550459
0.001,7434,0.5422018348623853
0.001,8434,0.5330275229357798
0.001,9434,0.5333333333333333
0.001,10434,0.5140672782874618
0.001,11434,0.4449541284403669
0.001,12434,0.4302752293577981
0.001,13434,0.4269113149847094
0.001,14434,0.4256880733944954
0.001,15434,0.4262996941896024
0.001,16434,0.4345565749235474
0.001,17434,0.4360856269113149
0.001,18434,0.4363914373088685
0.001,19434,0.4363914373088685
0.001,20434,0.4363914373088685
0.001,21434,0.4363914373088685
0.0001,5434,0.545565749235474
0.0001,6434,0.5403669724770642
0.0001,7434,0.5382262996941896
0.0001,8434,0.537308868501529
0.0001,9434,0.5351681957186545
0.0001,10434,0.4746177370030581
0.0001,11434,0.4235474006116208
0.0001,12434,0.4159021406727828
0.0001,13434,0.4162079510703363
0.0001,14434,0.4131498470948012
0.0001,15434,0.4128440366972477
0.0001,16434,0.4155963302752293
0.0001,17434,0.4125382262996941
0.0001,18434,0.4125382262996941
0.0001,19434,0.4125382262996941
0.0001,20434,0.4125382262996941
0.0001,21434,0.4125382262996941
1e-05,5434,0.5428134556574924
1e-05,6434,0.536697247706422
1e-05,7434,0.5351681957186545
1e-05,8434,0.5400611620795107
1e-05,9434,0.536085626911315
1e-05,10434,0.4409785932721712
1e-05,11434,0.4134556574923547
1e-05,12434,0.4039755351681957
1e-05,13434,0.3981651376146789
1e-05,14434,0.3966360856269113
1e-05,15434,0.3975535168195718
1e-05,16434,0.4021406727828746
1e-05,17434,0.4
1e-05,18434,0.4
1e-05,19434,0.4
1e-05,20434,0.4
1e-05,21434,0.4
1e-06,5434,0.5431192660550459
1e-06,6434,0.536085626911315
1e-06,7434,0.5333333333333333
1e-06,8434,0.5400611620795107
1e-06,9434,0.5314984709480123
1e-06,10434,0.427217125382263
1e-06,11434,0.4067278287461773
1e-06,12434,0.3905198776758409
1e-06,13434,0.3862385321100917
1e-06,14434,0.3837920489296636
1e-06,15434,0.3834862385321101
1e-06,16434,0.3914373088685015
1e-06,17434,0.3902140672782874
1e-06,18434,0.3905198776758409
1e-06,19434,0.3905198776758409
1e-06,20434,0.3905198776758409
1e-06,21434,0.3905198776758409
1e-07,5434,0.5418960244648318
1e-07,6434,0.5363914373088685
1e-07,7434,0.5333333333333333
1e-07,8434,0.5391437308868502
1e-07,9434,0.5324159021406728
1e-07,10434,0.4198776758409785
1e-07,11434,0.3960244648318042
1e-07,12434,0.3801223241590214
1e-07,13434,0.3761467889908257
1e-07,14434,0.3749235474006116
1e-07,15434,0.3761467889908257
1e-07,16434,0.381651376146789
1e-07,17434,0.3840978593272171
1e-07,18434,0.3844036697247706
1e-07,19434,0.3844036697247706
1e-07,20434,0.3844036697247706
1e-07,21434,0.3844036697247706
1e-08,5434,0.5422018348623853
1e-08,6434,0.5363914373088685
1e-08,7434,0.5336391437308868
1e-08,8434,0.536697247706422
1e-08,9434,0.5345565749235474
1e-08,10434,0.4125382262996941
1e-08,11434,0.3868501529051987
1e-08,12434,0.3712538226299694
1e-08,13434,0.3706422018348624
1e-08,14434,0.3669724770642202
1e-08,15434,0.3688073394495413
1e-08,16434,0.3792048929663608
1e-08,17434,0.3804281345565749
1e-08,18434,0.3804281345565749
1e-08,19434,0.3804281345565749
1e-08,20434,0.3804281345565749
1e-08,21434,0.3804281345565749
1e-10,5434,0.5422018348623853
1e-09,5434,0.5415902140672783
1e-09,6434,0.5357798165137615
1e-09,7434,0.5327217125382263
1e-09,8434,0.536697247706422
1e-09,9434,0.5403669724770642
1e-09,10434,0.40764525993883793
1e-09,11434,0.37767584097859325
1e-09,12434,0.3651376146788991
1e-09,13434,0.3636085626911315
1e-09,14434,0.36269113149847093
1e-09,15434,0.36636085626911313
1e-09,16434,0.37553516819571864
1e-09,17434,0.3801223241590214
1e-09,18434,0.3801223241590214
1e-09,19434,0.3801223241590214
1e-09,20434,0.3801223241590214
1e-09,21434,0.3801223241590214
